ti (s),tf (s),xi (mm),yi (mm),xf (mm),yf (mm),TS (mm/s),WFS (m/min)
0.0,3.0,90.0,30.0,90.0,60.0,10,6.9
3.0,6.0,90.0,60.0,90.0,90.0,10,5.1
6.0,9.0,90.0,90.0,90.0,120.0,10,8.34
9.0,12.0,90.0,120.0,90.0,150.0,10,6.9
12.0,15.0,90.0,150.0,90.0,180.0,10,8.34
15.0,18.0,90.0,180.0,90.0,210.0,10,6.9
18.0,21.0,90.0,210.0,90.0,240.0,10,8.7
21.0,24.0,90.0,240.0,90.0,270.0,10,5.82
24.0,27.0,90.0,270.0,90.0,300.0,10,8.7
27.0,30.0,90.0,300.0,90.0,330.0,10,6.9
30.0,33.0,90.0,330.0,90.0,360.0,10,5.1
33.0,34.0,90.0,360.0,90.0,370.0,10,7.98
